product_id,item_name,legacy_category,fsn_class,forecast_category
1,(white/black/yellow line design),APPAREL,N,Uncategorised
2,0.50L B1T1 Tumbler (MCX-A501) Push Button Lid,NON-APPAREL,S,Drinkware
3,0.50L B1T1 Tumbler (MCY-A050) screw lid,NON-APPAREL,S,Drinkware
4,0.8L B1T1 Tumbler 2 way lid,NON-APPAREL,S,Drinkware
5,1.2L Tumbler (MTA-T120) for Carbonated drinks,NON-APPAREL,S,Drinkware
6,1.5 Tumbler (MTA-T150) for Carbonated Drinks,,S,Drinkware
7,1.5L Tumbler (MTA-T150) for Carbonated drinks,NON-APPAREL,N,Drinkware
8,1.75 Glitter Button Pin (typographic),NON-APPAREL,N,Keychains & Charms
9,1.75 Glossy Button Pin (typographic),NON-APPAREL,N,Keychains & Charms
10,1.75 Matte Button Pin (typographic),NON-APPAREL,N,Keychains & Charms
11,2 Color Polo Shirt (tiger pattern color),APPAREL,N,Shirts & Tops
12,2 Color Polo Shirt (white w/black collar),APPAREL,N,Shirts & Tops
13,2 Color Polo Shirt (white w/black scratch),MAIN STORAGE,N,Shirts & Tops
14,2 Color Polo Shirt (white w/black sleeves),APPAREL,N,Shirts & Tops
15,2 Color Polo Shirt (white w/black top w/yellow line),APPAREL,N,Shirts & Tops
16,2 Color Polo Shirt (white w/yellow collar),APPAREL,N,Shirts & Tops
17,2 Color Polo Shirt (white w/yellow sleeves),APPAREL,N,Shirts & Tops
18,2 Color Polo Shirt (yellow w/black collar),APPAREL,N,Shirts & Tops
19,2 Color Polo Shirt (yelow w/black scratch),MAIN STORAGE,N,Shirts & Tops
20,2.25 Glitter Button Pin (main building),NON-APPAREL,N,Keychains & Charms
21,2.25 Glossy Button Pin (main building),NON-APPAREL,N,Keychains & Charms
22,2.25 Matte Button Pin (main building),NON-APPAREL,N,Keychains & Charms
23,280ml Desk Mug,NON-APPAREL,S,Drinkware
24,280ml Desk Mug / MCIA028,,S,Drinkware
25,3 Color Polo Shirt,APPAREL,N,Shirts & Tops
26,480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,NON-APPAREL,S,Drinkware
27,500ml Tumbler (MTA-T050) for Carbonated drinks,NON-APPAREL,S,Drinkware
28,5M Magnetic Pin,,S,Keychains & Charms
29,5M Rotating Keychain,,F,Keychains & Charms
30,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,,N,Drinkware
31,800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,NON-APPAREL,S,Drinkware
32,800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,NON-APPAREL,S,Drinkware
